Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
75,20.1,0,361.37,-0.4,8.15,3230,1,15,25,,1.95822
75,20.1,0,361.37,-0.4,8.15,3230,1,20,25,,2.47514
75,20.1,0,361.37,-0.4,8.15,3230,1,25,25,,3.30111
75,20.1,0,361.37,-0.4,8.15,3230,1,30,25,,3.79598
250,,0,361.37,-0.4,8.15,3230,1,1,25,,0.373965
250,,0,361.37,-0.4,8.15,3230,1,2,25,,0.450888
250,,0,361.37,-0.4,8.15,3230,1,5,25,,0.791934
250,,0,361.37,-0.4,8.15,3230,1,10,25,,1.18742
250,,0,361.37,-0.4,8.15,3230,1,15,25,,1.6271
250,,0,361.37,-0.4,8.15,3230,1,20,25,,2.24335
250,,0,361.37,-0.4,8.15,3230,1,25,25,,2.95895
250,,0,361.37,-0.4,8.15,3230,1,30,25,,3.54209
590,,0,361.37,-0.4,8.15,3230,1,1,25,,0.285664
590,,0,361.37,-0.4,8.15,3230,1,2,25,,0.395675
590,,0,361.37,-0.4,8.15,3230,1,5,25,,0.681534
590,,0,361.37,-0.4,8.15,3230,1,10,25,,1.01086
590,,0,361.37,-0.4,8.15,3230,1,15,25,,1.34009
590,,0,361.37,-0.4,8.15,3230,1,20,25,,1.9343
590,,0,361.37,-0.4,8.15,3230,1,25,25,,2.31877
590,,0,361.37,-0.4,8.15,3230,1,30,25,,2.79154
74,0.401,0,478.88,-0.62,7.4,,2,0.517603,25,7,0.011335
74,0.401,0,478.88,-0.62,7.4,,2,0.998696,25,7,0.058788
74,0.401,0,478.88,-0.62,7.4,,2,1.49325,25,7,0.076981
74,0.401,0,478.88,-0.62,7.4,,2,1.98613,25,7,0.110637
74,0.401,0,478.88,-0.62,7.4,,2,2.81198,25,7,0.496584
74,0.401,0,478.88,-0.62,7.4,,2,3.66839,25,7,0.922657
74,0.401,0,478.88,-0.62,7.4,,2,4.60377,25,7,0.979776
74,0.401,0,478.88,-0.62,7.4,,2,7.4873,25,7,1.322225
74,3.85,1,478.88,-0.62,7.4,,2,0.342252,25,7,0.568138
74,3.85,1,478.88,-0.62,7.4,,2,0.809889,25,7,0.960298
74,3.85,1,478.88,-0.62,7.4,,2,1.27763,25,7,0.964031
74,3.85,1,478.88,-0.62,7.4,,2,1.77124,25,7,1.130865
74,3.85,1,478.88,-0.62,7.4,,2,2.75846,25,7,1.346779
74,3.85,1,478.88,-0.62,7.4,,2,3.74579,25,7,1.351744
