Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
100,,1,280.3,2.57,6.5,,4,25,8,-1.960189446
100,,1,284.72,2.04,5.4,,4,25,10,-2.223298816
100,,1,255.317,1.12,7.07,,4,25,10,-2.372634143
100,,1,280.303,5.01,5.91,,4,25,10,-2.19314197
,0.47,1,444.44,-1.37,7.7,1690,5,25,,-0.76700389
,0.98,0,444.44,-1.37,7.7,1690,5,25,,-0.935542011
,2.79,0,444.44,-1.37,7.7,1690,5,25,,-0.735182177
,0.17,1,444.44,-1.37,7.7,1690,5,25,,-1.004803708
,1.01,0,444.44,-1.37,7.7,1690,5,25,,-1.053056729
,2.56,0,444.44,-1.37,7.7,1690,5,25,,-0.661543506
,0.47,1,444.44,-1.37,7.7,1690,5,25,,-0.823908741
,0.98,0,444.44,-1.37,7.7,1690,5,25,,-0.876148359
,2.79,0,444.44,-1.37,7.7,1690,5,25,,-0.728158393
,0.17,1,444.44,-1.37,7.7,1690,5,25,,-0.910094889
,1.01,0,444.44,-1.37,7.7,1690,5,25,,-0.995678626
,2.56,0,444.44,-1.37,7.7,1690,5,25,,-0.634512015
,0.0454,0,478.88,-0.62,7.4,,10,25,5,-1.454692884
,0.0454,0,444.44,-1.37,7.7,1690,10,25,5,-1.394694954
,0.0454,0,460.343,-1.22,7.7,,10,25,5,-1.455931956
,,1,331.341,0.28,6.1,19440,1,25,7,-0.876148359
,,0,331.341,0.28,6.1,19440,1,25,7,-0.876148359
,,0,331.341,0.28,6.1,19440,1,25,7,-1.026872146
,,0,331.341,0.28,6.1,19440,1,25,7,-1.193820026
45,,0,331.341,0.28,6.1,19440,0.5,25,,-1.045757491
58,,0,331.341,0.28,6.1,19440,0.5,25,,-1.045757491
150,,0,331.341,0.28,6.1,19440,0.5,25,,-1.045757491
550,,0,331.341,0.28,6.1,19440,0.5,25,,-1.045757491
,,1,331.341,0.28,6.1,19440,0.5,25,,-1.744727495
,,0,331.341,0.28,6.1,19440,0.5,25,,-1.045757491
7.7,7.48,0,290.3212,0.91,6.8,400,,25,,-1.522878745
7.7,7.48,0,290.3212,0.91,6.8,400,,25,,-1.301029996
7.7,7.48,0,290.3212,0.91,6.8,400,,25,,-0.739451627
65.1,0.0416,1,264.3,0.8,6.99,1500,,,,0.045714059
143.8,0.0022,0,264.3,0.8,6.99,1500,,,,0.382917135
20,0.2674,0,253.28,0.89,6.16,610,,,,-0.002613616
90,0.0256,0,253.28,0.89,6.16,610,,,,-0.521433504
150,0.0223,1,264.3,0.8,6.99,1500,,,,0.229425848
90,0.0256,0,264.3,0.8,6.99,1500,,,,-0.026410377
100,0.6978,1,331.341,0.28,6.1,19440,5,35,7,-0.339419088
100,0.6978,1,331.341,0.28,6.1,19440,5,25,7,-0.624153564
100,0.6978,1,331.341,0.28,6.1,19440,5,15,7,-0.737786295
100,1.0016,0,331.341,0.28,6.1,19440,5,35,7,-0.876148359
100,1.0016,0,331.341,0.28,6.1,19440,5,25,7,-2.337242168
100,1.0016,0,331.341,0.28,6.1,19440,5,15,7,-0.377061031
100,1.7915,1,331.341,0.28,6.1,19440,5,35,7,-1.853871964
100,1.7915,1,331.341,0.28,6.1,19440,5,25,7,-0.369673845
100,1.7915,1,331.341,0.28,6.1,19440,5,15,7,-0.053351266
100,4.2525,0,331.341,0.28,6.1,19440,5,35,7,-1.024568191
100,4.2525,0,331.341,0.28,6.1,19440,5,25,7,-0.605548319
100,4.2525,0,331.341,0.28,6.1,19440,5,15,7,-0.431798276
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,-1.045757491
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,-1
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,-1.522878745
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,-1.096910013
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,-1.045757491
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,-0.585026652
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,0
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,-0.387216143
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,-0.769551079
0.07996,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,-1.15490196
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,-0.167491087
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,-1.698970004
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,-2
75,0.2354,1,444.44,-1.37,7.7,1690,5,25,5.8,0.294466226
75,0.2354,1,444.44,-1.37,7.7,1690,5,25,5.8,-0.806875402
75,0.7762,0,444.44,-1.37,7.7,1690,5,25,5.8,-0.93930216
75,0.7762,0,444.44,-1.37,7.7,1690,5,25,5.8,-0.638272164
155.98,0.0628,1,250.28,0.813,6.28,67.13,10,25,6,-1.213603539
90,13.61,1,264.3078,0.14,7.35,202,10,25,7,-0.369572125
90,13.61,1,253.2809,0.89,5.7,610,10,25,7,-0.247951552
90,13.61,1,290.3212,0.91,7.45,400,10,25,7,0.311753861
90,13.61,1,361.3675,-0.2,7.94,0.39,10,25,7,-0.213248578
90,13.61,1,261.2508,1.6,,2190,10,25,7,-0.302770657
90,13.61,1,747.9571,3.16,8.99,0.342,10,25,7,0.253095586
90,13.61,1,837.0465,3,,202,10,25,7,0.043362278
,10.89,0,361.3675,-0.2,7.94,0.39,10,25,7,-2.522878745
,10.89,0,747.9571,3.16,8.99,0.342,10,25,7,-3
,10.89,0,837.0465,3,,202,10,25,7,-3
,1.02,0,264.3078,0.14,7.35,202,10,25,7,-0.266000713
,1.02,0,253.2809,0.89,5.7,610,10,25,7,-0.684029655
,1.02,0,290.3212,0.91,7.45,400,10,25,7,-0.12090412
,1.02,0,361.3675,-0.2,7.94,0.39,10,25,7,0.444513206
,1.02,0,261.2508,1.6,,2190,10,25,7,0.708760724
,1.02,0,747.9571,3.16,8.99,0.342,10,25,7,0.804480189
,1.02,0,837.0465,3,,202,10,25,7,0.054613055
151,1.27,1,264.3078,0.14,7.35,202,10,25,7,-0.121478204
151,1.27,1,253.2809,0.89,5.7,610,10,25,7,-0.671620397
151,1.27,1,290.3212,0.91,7.45,400,10,25,7,-0.253365801
151,1.27,1,361.3675,-0.2,7.94,0.39,10,25,7,0.071513805
151,1.27,1,261.2508,1.6,,2190,10,25,7,-0.156767222
151,1.27,1,747.9571,3.16,8.99,0.342,10,25,7,0.253095586
151,1.27,1,837.0465,3,,202,10,25,7,-0.444905551
,2.45,0,264.3078,0.14,7.35,202,10,25,7,-0.402304814
,2.45,0,253.2809,0.89,5.7,610,10,25,7,-1.060480747
,2.45,0,290.3212,0.91,7.45,400,10,25,7,-0.155522824
,2.45,0,361.3675,-0.2,7.94,0.39,10,25,7,-0.787812396
,2.45,0,261.2508,1.6,,2190,10,25,7,-0.460923901
,2.45,0,747.9571,3.16,8.99,0.342,10,25,7,-0.621602099
,2.45,0,837.0465,3,,202,10,25,7,-0.559090918
,0.71,0,264.3078,0.14,7.35,202,10,25,7,1.366236124
,0.71,0,253.2809,0.89,5.7,610,10,25,7,-0.133122186
,0.71,0,290.3212,0.91,7.45,400,10,25,7,-0.348721986
,0.71,0,361.3675,-0.2,7.94,0.39,10,25,7,-0.280668713
,0.71,0,261.2508,1.6,,2190,10,25,7,0.08170727
,0.71,0,747.9571,3.16,8.99,0.342,10,25,7,0.041787319
,0.71,0,837.0465,3,,202,10,25,7,-0.798602876
228,0.16,1,264.3078,0.14,7.35,202,10,25,7,-0.01278077
228,0.16,1,253.2809,0.89,5.7,610,10,25,7,-0.749579998
228,0.16,1,290.3212,0.91,7.45,400,10,25,7,-0.391473966
228,0.16,1,361.3675,-0.2,7.94,0.39,10,25,7,-0.480172006
228,0.16,1,261.2508,1.6,,2190,10,25,7,-0.590066877
228,0.16,1,747.9571,3.16,8.99,0.342,10,25,7,0.611829479
228,0.16,1,837.0465,3,,202,10,25,7,-0.8569852
,1.26,0,264.3078,0.14,7.35,202,10,25,7,-0.077793723
,1.26,0,253.2809,0.89,5.7,610,10,25,7,-0.045757491
,1.26,0,290.3212,0.91,7.45,400,10,25,7,-0.253365801
,1.26,0,361.3675,-0.2,7.94,0.39,10,25,7,0.071513805
,1.26,0,261.2508,1.6,,2190,10,25,7,-0.156767222
,1.26,0,747.9571,3.16,8.99,0.342,10,25,7,0.253095586
,1.26,0,837.0465,3,,202,10,25,7,-0.444905551
,4.74,0,264.3078,0.14,7.35,202,10,25,7,-0.57024772
,4.74,0,253.2809,0.89,5.7,610,10,25,7,-0.112945622
,4.74,0,290.3212,0.91,7.45,400,10,25,7,-0.088309841
,4.74,0,361.3675,-0.2,7.94,0.39,10,25,7,-0.101823517
,4.74,0,261.2508,1.6,,2190,10,25,7,-0.344861565
,4.74,0,747.9571,3.16,8.99,0.342,10,25,7,-0.21395879
,4.74,0,837.0465,3,,202,10,25,7,-0.588380294
45.37,1.25,1,444.44,-1.37,7.7,1690,,25,4,-1.292429824
62.33,1.33,0,444.44,-1.37,7.7,1690,,25,4,-1.619788758
150,,1,253.28,0.89,5.57,610,5,25,,-1.903089987
250,2.87,0,253.28,0.89,5.8,610,1,,,-1.619788758
230,2.48,0,253.28,0.89,5.8,610,1,,,-1.522878745
250,2.5,0,253.28,0.89,5.8,610,1,,,-1.698970004
300,2.22,0,253.28,0.89,5.8,610,1,,,-1.602059991
200,1.15,0,253.28,0.89,5.8,610,1,,,-1.397940009
3,,0,916.1,1.63,7.5,,,25,3,-0.954364129
74,,1,367.802,1.32,6.1,19440,0.2,25,,-1.297569464
74,,0,367.802,1.32,6.1,19440,0.2,25,,-0.316052869
74,,1,367.802,1.32,6.1,19440,0.2,25,,-0.91721463
