Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
164.7,13.7,0,331.341,0.28,6.1,19440,2,25,6,-0.453457337
135.9,9.3,0,331.341,0.28,6.1,19440,2,25,6,-0.42945706
180,,0,331.341,0.28,6.1,19440,1,25,,-1.292429824
180,,0,331.341,0.28,6.1,19440,1,25,,-1.107905397
180,,0,331.341,0.28,6.1,19440,1,25,,-0.694648631
150,2.25,0,916.1,1.63,7.5,,1,,,-1.26760624
150,2.25,0,444.44,,7.7,1690,1,,,-1.013228266
150,1.4,0,916.1,1.63,7.5,,1,,,-1.13667714
150,1.4,0,444.44,,7.7,1690,1,,,-1.080921908
150,1.34,0,916.1,1.63,7.5,,1,,,-1.468521083
150,1.34,0,444.44,,7.7,1690,1,,,-1.036212173
,,0,319.33,0.46,8.8,400,1,25,,-0.962573502
,,0,319.33,0.46,8.8,400,1,25,,-0.838631998
,,0,319.33,0.46,8.8,400,1,25,,-0.954677021
