Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logQmax,
138.53,0.86,0,,,,,0.4,27,7,0.716003344,
160.37,0.32,1,419.45,0.75,7.4,3430,0.4,27,7,0.478566496,
138.53,0.86,0,419.45,0.75,7.4,3430,0.4,27,7,0.697229343,
110,1.579,1,460.343,-1.22,7.5,,0.4,25,,0.710963119,
110,5.436,0,460.343,-1.22,7.5,,0.4,25,,0.764922985,
110,1.579,1,,,,,0.4,25,,0.509202522,
110,5.436,0,,,,,0.4,25,,0.762678564,
180,0.656,1,444.44,-1.37,7.7,1690,2,25,,0.052690095,
180,0.896,0,444.44,-1.37,7.7,1690,2,25,,0.144016583,
180,1.301,1,444.44,-1.37,7.7,1690,2,25,,0.174577278,
180,1.387,0,444.44,-1.37,7.7,1690,2,25,,0.184583553,
164.7,13.7,0,331.341,0.28,6.1,19440,2,25,6,0.266231697,
135.9,9.3,0,331.341,0.28,6.1,19440,2,25,6,0.269979677,
180,,0,331.341,0.28,6.1,19440,1,25,,1.286680969,
180,,0,331.341,0.28,6.1,19440,1,25,,1.193458543,
180,,0,331.341,0.28,6.1,19440,1,25,,1.04453976,
150,2.25,0,916.1,1.63,7.5,,1,,,0.031004281,
150,2.25,0,444.44,,7.7,1690,1,,,-0.175874166,
150,1.4,0,916.1,1.63,7.5,,1,,,-0.165579296,
150,1.4,0,444.44,,7.7,1690,1,,,-0.07109231,
150,1.34,0,916.1,1.63,7.5,,1,,,0.256958153,
150,1.34,0,444.44,,7.7,1690,1,,,-0.055517328,
,,0,319.33,0.46,8.8,400,1,25,,0.582631439,
,,0,319.33,0.46,8.8,400,1,25,,0.452859336,
,,0,319.33,0.46,8.8,400,1,25,,0.715418323,
