Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logQmax,
100,,1,214.242,0.11,5.38,,4,25,8,-0.616453908,
100,,1,284.72,2.04,5.4,,4,25,8,0.290457564,
100,,1,280.3,2.57,6.5,,4,25,8,-0.355118479,
100,,1,284.72,2.04,5.4,,4,25,10,0.175160873,
100,,1,255.317,1.12,7.07,,4,25,10,-0.059941958,
100,,1,280.303,5.01,5.91,,4,25,10,-0.152094345,
,0.47,1,444.44,-1.37,7.7,1690,5,25,,-0.716698771,
,0.98,0,444.44,-1.37,7.7,1690,5,25,,-0.450996738,
,2.79,0,444.44,-1.37,7.7,1690,5,25,,-0.363512104,
,0.17,1,444.44,-1.37,7.7,1690,5,25,,-0.595166283,
,1.01,0,444.44,-1.37,7.7,1690,5,25,,-0.32330639,
,2.56,0,444.44,-1.37,7.7,1690,5,25,,-0.287350298,
,0.47,1,444.44,-1.37,7.7,1690,5,25,,-0.677780705,
,0.98,0,444.44,-1.37,7.7,1690,5,25,,-0.436518915,
,2.79,0,444.44,-1.37,7.7,1690,5,25,,-0.358525889,
,0.17,1,444.44,-1.37,7.7,1690,5,25,,-0.610833916,
,1.01,0,444.44,-1.37,7.7,1690,5,25,,-0.320572103,
,2.56,0,444.44,-1.37,7.7,1690,5,25,,-0.294992041,
,0.0454,0,478.88,-0.62,7.4,,10,25,5,-0.449160395,
,0.0454,0,444.44,-1.37,7.7,1690,10,25,5,-0.595337299,
,0.0454,0,460.343,-1.22,7.7,,10,25,5,-0.452717692,
,,1,331.341,0.28,6.1,19440,1,25,7,-0.024568191,
,,0,331.341,0.28,6.1,19440,1,25,7,0.240549248,
,,0,331.341,0.28,6.1,19440,1,25,7,0.292034436,
,,0,331.341,0.28,6.1,19440,1,25,7,0.398287305,
45,,0,331.341,0.28,6.1,19440,0.5,25,,1.421603927,
58,,0,331.341,0.28,6.1,19440,0.5,25,,1.421603927,
150,,0,331.341,0.28,6.1,19440,0.5,25,,1.421603927,
550,,0,331.341,0.28,6.1,19440,0.5,25,,1.421603927,
,,1,331.341,0.28,6.1,19440,0.5,25,,1.11058971,
,,0,331.341,0.28,6.1,19440,0.5,25,,1.421603927,
7.7,7.48,0,290.3212,0.91,6.8,400,,25,,-0.259637311,
7.7,7.48,0,290.3212,0.91,6.8,400,,25,,-0.161150909,
7.7,7.48,0,290.3212,0.91,6.8,400,,25,,1.707061584,
65.1,0.0416,1,264.3,0.8,6.99,1500,,,,-0.596879479,
143.8,0.0022,0,264.3,0.8,6.99,1500,,,,0.943049111,
20,0.2674,0,253.28,0.89,6.16,610,,,,-0.903089987,
90,0.0256,0,253.28,0.89,6.16,610,,,,0.926599654,
150,0.0223,1,264.3,0.8,6.99,1500,,,,-0.492144128,
90,0.0256,0,264.3,0.8,6.99,1500,,,,-0.212539525,
100,0.6978,1,331.341,0.28,6.1,19440,5,35,7,-0.22541005,
100,0.6978,1,331.341,0.28,6.1,19440,5,25,7,-0.318487413,
100,0.6978,1,331.341,0.28,6.1,19440,5,15,7,-0.546987609,
100,1.7915,1,331.341,0.28,6.1,19440,5,35,7,-0.19606515,
100,1.7915,1,331.341,0.28,6.1,19440,5,25,7,-0.286677495,
100,1.7915,1,331.341,0.28,6.1,19440,5,15,7,-0.513853003,
100,4.2525,0,331.341,0.28,6.1,19440,5,35,7,0.412628521,
100,4.2525,0,331.341,0.28,6.1,19440,5,25,7,0.098989639,
100,4.2525,0,331.341,0.28,6.1,19440,5,15,7,-0.077274542,
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,1.252124553,
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,1.550839605,
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,2.136308267,
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,1.899054068,
0.08005,79.92,0,444.44,-1.37,7.7,1690,0.5,20,,1.869642345,
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,1.045714059,
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,1.261976191,
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,1.316808752,
0.07996,49.52,0,444.44,-1.37,7.7,1690,0.5,20,,1.342225229,
0.07996,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,1.329397879,
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,1.32776749,
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,2.28180577,
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,2.426267207,
0.08605,86.363,0,444.44,-1.37,7.7,1690,0.5,20,,2.746960964,
75,0.2354,1,444.44,-1.37,7.7,1690,5,25,5.8,-1.511449283,
75,0.2354,1,444.44,-1.37,7.7,1690,5,25,5.8,-0.040386289,
75,0.7762,0,444.44,-1.37,7.7,1690,5,25,5.8,-0.117931056,
75,0.7762,0,444.44,-1.37,7.7,1690,5,25,5.8,-0.022230682,
155.98,0.0628,1,250.28,0.813,6.28,67.13,10,25,6,2.746359744,
90,13.61,1,264.3078,0.14,7.35,202,10,25,7,-0.98699415,
90,13.61,1,253.2809,0.89,5.7,610,10,25,7,-0.724458312,
90,13.61,1,290.3212,0.91,7.45,400,10,25,7,-1.205860644,
90,13.61,1,361.3675,-0.2,7.94,0.39,10,25,7,-0.92628165,
90,13.61,1,261.2508,1.6,,2190,10,25,7,-1.115204636,
90,13.61,1,747.9571,3.16,8.99,0.342,10,25,7,-1.343997679,
90,13.61,1,837.0465,3,,202,10,25,7,-1.090604454,
,10.89,0,264.3078,0.14,7.35,202,10,25,7,-1.046192002,
,10.89,0,253.2809,0.89,5.7,610,10,25,7,-1.052566278,
,10.89,0,290.3212,0.91,7.45,400,10,25,7,-1.397289055,
,10.89,0,361.3675,-0.2,7.94,0.39,10,25,7,-1.309981219,
,10.89,0,261.2508,1.6,,2190,10,25,7,-1.366935727,
,10.89,0,747.9571,3.16,8.99,0.342,10,25,7,-1.360712774,
,10.89,0,837.0465,3,,202,10,25,7,-1.377061031,
,1.02,0,264.3078,0.14,7.35,202,10,25,7,-1.057148993,
,1.02,0,253.2809,0.89,5.7,610,10,25,7,-0.974284616,
,1.02,0,290.3212,0.91,7.45,400,10,25,7,-1.243972787,
,1.02,0,361.3675,-0.2,7.94,0.39,10,25,7,-0.76853041,
,1.02,0,261.2508,1.6,,2190,10,25,7,-0.663620328,
,1.02,0,747.9571,3.16,8.99,0.342,10,25,7,-0.664141089,
,1.02,0,837.0465,3,,202,10,25,7,-0.932557157,
151,1.27,1,264.3078,0.14,7.35,202,10,25,7,-1.055714779,
151,1.27,1,253.2809,0.89,5.7,610,10,25,7,-1.283078927,
151,1.27,1,290.3212,0.91,7.45,400,10,25,7,-1.149537567,
151,1.27,1,361.3675,-0.2,7.94,0.39,10,25,7,-1.162664132,
151,1.27,1,261.2508,1.6,,2190,10,25,7,-1.279757982,
151,1.27,1,747.9571,3.16,8.99,0.342,10,25,7,-1.343997679,
151,1.27,1,837.0465,3,,202,10,25,7,-1.029188389,
,2.45,0,264.3078,0.14,7.35,202,10,25,7,-1.309981219,
,2.45,0,253.2809,0.89,5.7,610,10,25,7,-1.325138859,
,2.45,0,290.3212,0.91,7.45,400,10,25,7,-1.485053995,
,2.45,0,361.3675,-0.2,7.94,0.39,10,25,7,-1.655018586,
,2.45,0,261.2508,1.6,,2190,10,25,7,-1.667763585,
,2.45,0,747.9571,3.16,8.99,0.342,10,25,7,-1.412289035,
,2.45,0,837.0465,3,,202,10,25,7,-1.363512104,
,0.71,0,264.3078,0.14,7.35,202,10,25,7,-1.086678981,
,0.71,0,253.2809,0.89,5.7,610,10,25,7,-0.926171716,
,0.71,0,290.3212,0.91,7.45,400,10,25,7,-1.44648106,
